"","ID","lake","goby","point","pointL","x","y"
"196","MIS17_G35_L2.JPG ","MIS17","G35",4,"D",38.384056776,20.977489046
"197","MIS17_G35_L2.JPG ","MIS17","G35",5,"E",39.28406227,25.177525286
"198","MIS17_G35_L2.JPG ","MIS17","G35",6,"F",49.884160548,27.377551084
"199","MIS17_G35_L2.JPG ","MIS17","G35",7,"G",49.48416164,21.477495632
"200","MIS17_G35_L2.JPG ","MIS17","G35",8,"H",49.584169318,9.0773736444
"201","MIS17_G35_L2.JPG ","MIS17","G35",9,"I",40.984081482,12.2774030732
"202","MIS17_G35_L2.JPG ","MIS17","G35",10,"J",35.08402603,12.4774057076
"203","MIS17_G35_L2.JPG ","MIS17","G35",11,"K",33.284015042,14.6774251448
"204","MIS17_G35_L2.JPG ","MIS17","G35",12,"L",28.983971124,14.4774241006
"205","MIS20_G14_L2.JPG ","MIS20","G14",1,"A",31.604131845,21.096275057
"206","MIS20_G14_L2.JPG ","MIS20","G14",2,"B",31.979131327,22.221253626
"207","MIS20_G14_L2.JPG ","MIS20","G14",3,"C",38.104030107,26.846194232
"208","MIS20_G14_L2.JPG ","MIS20","G14",4,"D",42.853957289,26.47119475
"209","MIS20_G14_L2.JPG ","MIS20","G14",5,"E",44.35393534,29.346144399
"210","MIS20_G14_L2.JPG ","MIS20","G14",6,"F",58.103710951,30.221129939
"211","MIS20_G14_L2.JPG ","MIS20","G14",7,"G",56.728739353,26.096195268
"212","MIS20_G14_L2.JPG ","MIS20","G14",8,"H",56.478726447,9.0964665506
"213","MIS20_G14_L2.JPG ","MIS20","G14",9,"I",47.103878536,14.4713822682
"214","MIS20_G14_L2.JPG ","MIS20","G14",10,"J",37.979023654,17.0963408759
"215","MIS20_G14_L2.JPG ","MIS20","G14",11,"K",36.979051538,19.7212994836
"216","MIS20_G14_L2.JPG ","MIS20","G14",12,"L",31.479125392,19.4713024792
"217","MIS20_G15_L2.JPG ","MIS20","G15",1,"A",27.104197692,21.596261115
"218","MIS20_G15_L2.JPG ","MIS20","G15",2,"B",27.229204145,22.97125259
"219","MIS20_G15_L2.JPG ","MIS20","G15",3,"C",33.729102407,27.971172801
"220","MIS20_G15_L2.JPG ","MIS20","G15",4,"D",39.104002223,27.471166866
"221","MIS20_G15_L2.JPG ","MIS20","G15",5,"E",39.854001187,30.971128903
"222","MIS20_G15_L2.JPG ","MIS20","G15",6,"F",55.478754331,31.471114961
"223","MIS20_G15_L2.JPG ","MIS20","G15",7,"G",53.728783251,27.096187261
"224","MIS20_G15_L2.JPG ","MIS20","G15",8,"H",52.353791776,9.4714620572
"225","MIS20_G15_L2.JPG ","MIS20","G15",9,"I",42.853957289,14.346383766
"226","MIS20_G15_L2.JPG ","MIS20","G15",10,"J",33.979095436,17.596332897
"227","MIS20_G15_L2.JPG ","MIS20","G15",11,"K",32.479117385,19.0963089603
"228","MIS20_G15_L2.JPG ","MIS20","G15",12,"L",26.604211634,19.5963009814
"229","MIS20_G16_L2.JPG ","MIS20","G16",1,"A",28.854168772,21.471274539
"230","MIS20_G16_L2.JPG ","MIS20","G16",2,"B",29.729154312,23.096239166
"231","MIS20_G16_L2.JPG ","MIS20","G16",3,"C",37.104038114,26.721187779
"232","MIS20_G16_L2.JPG ","MIS20","G16",4,"D",41.978971749,26.346188297
"233","MIS20_G16_L2.JPG ","MIS20","G16",5,"E",43.353943347,28.596165312
"234","MIS20_G16_L2.JPG ","MIS20","G16",6,"F",56.353739871,28.596165312
"235","MIS20_G16_L2.JPG ","MIS20","G16",7,"G",56.103746842,22.97125259
"236","MIS20_G16_L2.JPG ","MIS20","G16",8,"H",52.603804682,6.096514424
"237","MIS20_G16_L2.JPG ","MIS20","G16",9,"I",41.853965296,12.3464156816
"238","MIS20_G16_L2.JPG ","MIS20","G16",10,"J",36.479045603,16.3463518504
"239","MIS20_G16_L2.JPG ","MIS20","G16",11,"K",34.729074523,18.7213154414
"240","MIS20_G16_L2.JPG ","MIS20","G16",12,"L",28.604175743,19.8462959981
"241","MIS20_G17_L2.JPG ","MIS20","G17",1,"A",36.548268167,24.539062419
"242","MIS20_G17_L2.JPG ","MIS20","G17",2,"B",37.262536081,25.967643681
"243","MIS20_G17_L2.JPG ","MIS20","G17",3,"C",44.262575178,29.25336241
"244","MIS20_G17_L2.JPG ","MIS20","G17",4,"D",49.548298587,27.967648361
"245","MIS20_G17_L2.JPG ","MIS20","G17",5,"E",50.119722005,31.824790508
"246","MIS20_G17_L2.JPG ","MIS20","G17",6,"F",62.548329007,31.681946012
